stop_id,hour,departure_count,mode,avg_departures_per_hour
11214,5,55,train,11.0
12262,5,28,train,5.6
12252,5,30,train,6.0
12250,5,36,train,7.2
12246,5,21,train,4.2
12243,5,21,train,4.2
12240,5,14,train,2.8
11209,5,21,train,4.2
11206,5,16,train,3.2
11204,5,17,train,3.4
11201,5,16,train,3.2
11199,5,16,train,3.2
11198,5,32,train,6.4
11197,5,32,train,6.4
11213,5,29,train,5.8
12261,5,24,train,4.8
12240,6,28,train,5.6
11209,6,63,train,12.6
11206,6,23,train,4.6
11204,6,23,train,4.6
11201,6,17,train,3.4
11199,6,16,train,3.2
11198,6,39,train,7.8
11197,6,39,train,7.8
11213,6,91,train,18.2
12261,6,68,train,13.6
12252,6,37,train,7.4
12250,6,45,train,9.0
12246,6,21,train,4.2
12243,6,21,train,4.2
11214,6,79,train,15.8
12262,6,21,train,4.2
11201,7,24,train,4.8
11199,7,24,train,4.8
11198,7,55,train,11.0
11197,7,55,train,11.0
11215,7,70,train,14.0
12262,7,49,train,9.8
12252,7,66,train,13.2
12250,7,66,train,13.2
12246,7,63,train,12.6
12243,7,70,train,14.0
12240,7,56,train,11.2
11209,7,83,train,16.6
11206,7,24,train,4.8
11204,7,24,train,4.8
11197,15,55,train,11.0
11198,15,48,train,9.6
11200,15,24,train,4.8
11202,15,24,train,4.8
11203,15,24,train,4.8
11205,15,31,train,6.2
11207,15,83,train,16.6
12238,15,55,train,11.0
12241,15,76,train,15.2
12244,15,55,train,11.0
12248,15,48,train,9.6
12251,15,73,train,14.6
12259,15,38,train,7.6
11214,15,132,train,26.4
11214,7,102,train,20.4
11201,8,31,train,6.2
11199,8,31,train,6.2
11198,8,48,train,9.6
11197,8,48,train,9.6
12260,15,69,train,13.8
11213,15,138,train,27.6
11215,8,112,train,22.4
12262,8,63,train,12.6
12252,8,45,train,9.0
12250,8,52,train,10.4
12246,8,42,train,8.4
12243,8,77,train,15.4
12240,8,42,train,8.4
11209,8,97,train,19.4
11206,8,31,train,6.2
11204,8,24,train,4.8
12248,16,55,train,11.0
12251,16,94,train,18.8
12259,16,31,train,6.2
11214,16,118,train,23.6
11198,16,69,train,13.8
11200,16,31,train,6.2
11202,16,31,train,6.2
11203,16,31,train,6.2
11205,16,31,train,6.2
11207,16,97,train,19.4
12238,16,62,train,12.4
12241,16,97,train,19.4
12244,16,62,train,12.4
12260,16,104,train,20.8
11198,9,69,train,13.8
11197,9,62,train,12.4
11197,16,62,train,12.4
11213,16,124,train,24.8
11214,8,132,train,26.4
12243,9,84,train,16.8
12240,9,42,train,8.4
11209,9,118,train,23.6
11206,9,38,train,7.6
11204,9,31,train,6.2
11201,9,31,train,6.2
11199,9,31,train,6.2
12261,9,90,train,18.0
12247,16,38,train,7.6
12244,17,62,train,12.4
12248,17,41,train,8.2
12260,17,97,train,19.4
11213,17,152,train,30.4
11200,17,38,train,7.6
11202,17,38,train,7.6
11203,17,31,train,6.2
11205,17,31,train,6.2
11207,17,118,train,23.6
12238,17,55,train,11.0
12241,17,111,train,22.2
11197,17,62,train,12.4
11198,17,62,train,12.4
12247,17,59,train,11.8
12251,17,59,train,11.8
12259,17,52,train,10.4
11214,17,118,train,23.6
12262,16,42,train,8.4
12252,16,80,train,16.0
12250,16,87,train,17.4
12246,16,63,train,12.6
12243,16,56,train,11.2
12240,16,63,train,12.6
11209,16,72,train,14.4
11206,16,31,train,6.2
11204,16,38,train,7.6
11201,16,31,train,6.2
11199,16,31,train,6.2
11215,16,77,train,15.4
11201,17,38,train,7.6
11199,17,38,train,7.6
12251,18,80,train,16.0
12259,18,37,train,7.4
11215,18,51,train,10.2
12243,17,63,train,12.6
12240,17,56,train,11.2
11209,17,65,train,13.0
11206,17,31,train,6.2
11204,17,31,train,6.2
11203,18,31,train,6.2
11205,18,31,train,6.2
11207,18,97,train,19.4
12238,18,55,train,11.0
12241,18,90,train,18.0
