route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,mode,mode_label
aus:vic:vic-02-ALM:,,Alamein,Alamein - City,400,152C6B,FFFFFF,train,Train
aus:vic:vic-02-ALM-R:,,Replacement Bus,Alamein - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-BEG:,,Belgrave,Belgrave - City,400,152C6B,FFFFFF,train,Train
aus:vic:vic-02-BEG-R:,,Replacement Bus,Belgrave - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-CBE:,,Cranbourne,Cranbourne - City,400,34ACE1,000000,train,Train
aus:vic:vic-02-CBE-R:,,Replacement Bus,Cranbourne - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-CCL:,,City Circle,,400,0072CE,FFFFFF,train,Train
aus:vic:vic-02-CGB:,,Craigieburn,Craigieburn - City,400,FFBE00,000000,train,Train
aus:vic:vic-02-CGB-R:,,Replacement Bus,Craigieburn - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-FKN:,,Frankston,Frankston - City,400,028430,FFFFFF,train,Train
aus:vic:vic-02-FKN-R:,,Replacement Bus,Frankston - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-GWY:,,Glen Waverley,Glen Waverley - City,400,152C6B,FFFFFF,train,Train
aus:vic:vic-02-GWY-R:,,Replacement Bus,Glen Waverley - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-HBE:,,Hurstbridge,Hurstbridge - City,400,BE1014,FFFFFF,train,Train
aus:vic:vic-02-HBE-R:,,Replacement Bus,Hurstbridge - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-LIL:,,Lilydale,Lilydale - City,400,152C6B,FFFFFF,train,Train
aus:vic:vic-02-LIL-R:,,Replacement Bus,Lilydale - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-MDD:,,Mernda,Mernda - City,400,BE1014,FFFFFF,train,Train
aus:vic:vic-02-MDD-R:,,Replacement Bus,Mernda - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-PKM:,,Pakenham,Pakenham - City,400,34ACE1,000000,train,Train
aus:vic:vic-02-PKM-R:,,Replacement Bus,Pakenham - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-RCE:,,Flemington Racecourse,Flemington Racecourse - City,400,95979A,000000,train,Train
aus:vic:vic-02-RCE-R:,,Replacement Bus,City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-SHM:,,Sandringham,Sandringham - City,400,F178AF,000000,train,Train
aus:vic:vic-02-SHM-R:,,Replacement Bus,Sandringham - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-STY:,,Stony Point,Stony Point - Frankston,400,028430,FFFFFF,train,Train
aus:vic:vic-02-STY-R:,,Replacement Bus,Stony Point - Frankston,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-SUY:,,Sunbury,Sunbury - City,400,34ACE1,000000,train,Train
aus:vic:vic-02-SUY-R:,,Replacement Bus,Sunbury - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-UFD:,,Upfield,Upfield - City,400,FFBE00,000000,train,Train
aus:vic:vic-02-UFD-R:,,Replacement Bus,Upfield - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-WER:,,Werribee,Werribee - City,400,F178AF,000000,train,Train
aus:vic:vic-02-WER-R:,,Replacement Bus,Werribee - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-02-WIL:,,Williamstown,Williamstown - City,400,F178AF,000000,train,Train
aus:vic:vic-02-WIL-R:,,Replacement Bus,Williamstown - City,400,FE5000,FFFFFF,train,Train
aus:vic:vic-03-1:,,1,South Melbourne Beach - East Coburg,0,B5BD00,000000,tram,Tram
aus:vic:vic-03-109:,,109,Port Melbourne - Box Hill,0,E87722,000000,tram,Tram
aus:vic:vic-03-11:,,11,Victoria Harbour Docklands - West Preston,0,6ECEB2,000000,tram,Tram
aus:vic:vic-03-12:,,12,St Kilda (Fitzroy St) - Victoria Gardens,0,007E92,FFFFFF,tram,Tram
aus:vic:vic-03-16:,,16,Kew - Melbourne University,0,FBD872,000000,tram,Tram
aus:vic:vic-03-19:,,19,Flinders Street Station - North Coburg,0,8A1B61,FFFFFF,tram,Tram
aus:vic:vic-03-3:,,3,East Malvern - Melbourne University,0,8DC8E8,000000,tram,Tram
aus:vic:vic-03-30:,,30,Central Pier Docklands - St Vincents Plaza,0,534F96,FFFFFF,tram,Tram
aus:vic:vic-03-35:,,35,City Circle,0,6B3529,FFFFFF,tram,Tram
aus:vic:vic-03-48:,,48,Victoria Harbour Docklands - North Balwyn,0,333434,FFFFFF,tram,Tram
aus:vic:vic-03-5:,,5,Malvern - Melbourne University,0,D50032,FFFFFF,tram,Tram
aus:vic:vic-03-57:,,57,Flinders Street Station - West Maribyrnong,0,00C1D5,000000,tram,Tram
aus:vic:vic-03-58:,,58,Toorak - West Coburg,0,969696,FFFFFF,tram,Tram
aus:vic:vic-03-59:,,59,Flinders Street Station - Airport West,0,00653A,FFFFFF,tram,Tram
aus:vic:vic-03-6:,,6,Glen Iris - Moreland,0,01426A,FFFFFF,tram,Tram
aus:vic:vic-03-64:,,64,East Brighton - Melbourne University,0,00AB8E,FFFFFF,tram,Tram
aus:vic:vic-03-67:,,67,Carnegie - Melbourne University,0,956C58,FFFFFF,tram,Tram
aus:vic:vic-03-70:,,70,Waterfront City Docklands - Wattle Park,0,F59BBB,000000,tram,Tram
aus:vic:vic-03-72:,,72,Camberwell - Melbourne University,0,9ABEAA,000000,tram,Tram
aus:vic:vic-03-75:,,75,Central Pier Docklands - Vermont South,0,00A9E0,000000,tram,Tram
aus:vic:vic-03-78:,,78,Balaclava - North Richmond,0,A0A0D6,000000,tram,Tram
aus:vic:vic-03-82:,,82,Moonee Ponds - Footscray,0,D2D755,000000,tram,Tram
aus:vic:vic-03-86:,,86,Waterfront City Docklands - Bundoora RMIT,0,FFB500,000000,tram,Tram
aus:vic:vic-03-96:,,96,St Kilda Beach - East Brunswick,0,C6007E,FFFFFF,tram,Tram
14-200-aus-1,,200,Bulleen - City (Queen St),3,FF8200,FFFFFF,bus,Bus
14-207-aus-1,,207,Doncaster SC - City (Queen St),3,FF8200,FFFFFF,bus,Bus
14-270-aus-1,,270,Mitcham - Box Hill,3,FF8200,FFFFFF,bus,Bus
14-271-aus-1,,271,Ringwood - Box Hill Station,3,FF8200,FFFFFF,bus,Bus
14-273-aus-1,,273,The Pines SC - Nunawading Station,3,FF8200,FFFFFF,bus,Bus
14-279-aus-1,,279,Doncaster SC/Templestowe - Box Hill Station,3,FF8200,FFFFFF,bus,Bus
14-280-aus-1,,280,The Pines SC,3,FF8200,FFFFFF,bus,Bus
14-281-aus-1,,281,Box Hill Station - Templestowe,3,FF8200,FFFFFF,bus,Bus
14-282-aus-1,,282,The Pines SC,3,FF8200,FFFFFF,bus,Bus
14-284-aus-1,,284,Doncaster Park & Ride - Box Hill Station,3,FF8200,FFFFFF,bus,Bus
14-285-aus-1,,285,Camberwell SC - Doncaster Park & Ride,3,FF8200,FFFFFF,bus,Bus
14-293-aus-1,,293,Greensborough - Box Hill Station,3,FF8200,FFFFFF,bus,Bus
14-295-aus-1,,295,The Pines SC - Doncaster SC,3,FF8200,FFFFFF,bus,Bus
14-302-aus-1,,302,Box Hill Station - City (King/Lonsdale St),3,FF8200,FFFFFF,bus,Bus
14-303-aus-1,,303,Ringwood North - City (Queen St),3,FF8200,FFFFFF,bus,Bus
14-304-aus-1,,304,Doncaster SC - City (King/Lonsdale St),3,FF8200,FFFFFF,bus,Bus
14-305-aus-1,,305,The Pines SC - City (King/Lonsdale Sts),3,FF8200,FFFFFF,bus,Bus
14-309-aus-1,,309,The Pines SC - City (Queen St),3,FF8200,FFFFFF,bus,Bus
14-318-aus-1,,318,Deep Creek - City (King/Lonsdale Sts),3,FF8200,FFFFFF,bus,Bus
14-364-aus-1,,364,Warrandyte - Ringwood Station,3,FF8200,FFFFFF,bus,Bus
14-370-aus-1,,370,Ringwood Station - Mitcham Station,3,FF8200,FFFFFF,bus,Bus
14-668-aus-1,,668,Croydon Station - Ringwood Station,3,FF8200,FFFFFF,bus,Bus
14-669-aus-1,,669,Croydon Station - Ringwood Station,3,FF8200,FFFFFF,bus,Bus
14-901-aus-1,,901,Frankston - Melbourne Airport,3,FF8200,FFFFFF,bus,Bus
14-903-aus-1,,903,Mordialloc - Altona,3,FF8200,FFFFFF,bus,Bus
14-905-aus-1,,905,The Pines SC - City (King/Lonsdale Sts),3,FF8200,FFFFFF,bus,Bus
14-906-aus-1,,906,Warrandyte - City (King/Lonsdale Sts),3,FF8200,FFFFFF,bus,Bus
14-907-aus-1,,907,Mitcham - City (King/Lonsdale Sts),3,FF8200,FFFFFF,bus,Bus
14-908-aus-1,,908,The Pines SC - City (King/Lonsdale Sts),3,FF8200,FFFFFF,bus,Bus
17-200-aus-1,,200,Bulleen - City (Queen St),3,FF8200,FFFFFF,bus,Bus
17-202-aus-1,,202,Yarra Bend - Melbourne University,3,FF8200,FFFFFF,bus,Bus
17-207-aus-1,,207,Doncaster SC - City (Queen St),3,FF8200,FFFFFF,bus,Bus
17-234-aus-1,,234,Garden City - City (Queen Victoria Market),3,FF8200,FFFFFF,bus,Bus
17-235-aus-1,,235,Fishermans Bend - City (Southern Cross Station),3,FF8200,FFFFFF,bus,Bus
17-236-aus-1,,236,Garden City - City (Queen Victoria Market),3,FF8200,FFFFFF,bus,Bus
17-237-aus-1,,237,Fishermans Bend - City (Southern Cross Station),3,FF8200,FFFFFF,bus,Bus
17-246-aus-1,,246,Elsternwick - Clifton Hill,3,FF8200,FFFFFF,bus,Bus
17-250-aus-1,,250,La Trobe University - City (Queen St),3,FF8200,FFFFFF,bus,Bus
17-251-aus-1,,251,Northland SC - City (Queen St),3,FF8200,FFFFFF,bus,Bus
17-270-aus-1,,270,Mitcham - Box Hill,3,FF8200,FFFFFF,bus,Bus
17-279-aus-1,,279,Doncaster SC/Templestowe - Box Hill Station,3,FF8200,FFFFFF,bus,Bus
17-284-aus-1,,284,Doncaster Park & Ride - Box Hill Station,3,FF8200,FFFFFF,bus,Bus
17-285-aus-1,,285,Camberwell SC - Doncaster Park & Ride,3,FF8200,FFFFFF,bus,Bus
17-293-aus-1,,293,Greensborough - Box Hill Station,3,FF8200,FFFFFF,bus,Bus
17-302-aus-1,,302,Box Hill Station - City (King/Lonsdale St),3,FF8200,FFFFFF,bus,Bus
17-304-aus-1,,304,Doncaster SC - City (King/Lonsdale St),3,FF8200,FFFFFF,bus,Bus
17-305-aus-1,,305,The Pines SC - City (King/Lonsdale Sts),3,FF8200,FFFFFF,bus,Bus
17-309-aus-1,,309,The Pines SC - City (Queen St),3,FF8200,FFFFFF,bus,Bus
17-350-aus-1,,350,La Trobe University - City (Queen St),3,FF8200,FFFFFF,bus,Bus
17-510-aus-1,,510,Ivanhoe Station - Essendon Station,3,FF8200,FFFFFF,bus,Bus
17-512-aus-1,,512,East Coburg - Strathmore Station,3,FF8200,FFFFFF,bus,Bus
17-903-aus-1,,903,Mordialloc - Altona,3,FF8200,FFFFFF,bus,Bus
17-905-aus-1,,905,The Pines SC - City (King/Lonsdale Sts),3,FF8200,FFFFFF,bus,Bus
17-906-aus-1,,906,Warrandyte - City (King/Lonsdale Sts),3,FF8200,FFFFFF,bus,Bus
17-907-aus-1,,907,Mitcham - City (King/Lonsdale Sts),3,FF8200,FFFFFF,bus,Bus
17-908-aus-1,,908,The Pines SC - City (King/Lonsdale Sts),3,FF8200,FFFFFF,bus,Bus
18-901-aus-1,,901,Frankston - Melbourne Airport,3,FF8200,FFFFFF,bus,Bus
18-902-aus-1,,902,Chelsea Railway Station - Airport West SC,3,FF8200,FFFFFF,bus,Bus
18-903-aus-1,,903,Mordialloc - Altona,3,FF8200,FFFFFF,bus,Bus
19-663-aus-1,,663,Belgrave - Lilydale,3,FF8200,FFFFFF,bus,Bus
19-664-aus-1,,664,Chirnside Park SC - Knox City SC,3,FF8200,FFFFFF,bus,Bus
19-670-aus-1,,670,Lilydale - Ringwood,3,FF8200,FFFFFF,bus,Bus
19-671-aus-1,,671,Chirnside Park SC - Croydon,3,FF8200,FFFFFF,bus,Bus
19-672-aus-1,,672,Chirnside Park SC - Croydon,3,FF8200,FFFFFF,bus,Bus
19-675-aus-1,,675,Chirnside Park SC - Mooroolbark,3,FF8200,FFFFFF,bus,Bus
19-677-aus-1,,677,Chirnside Park SC - Lilydale,3,FF8200,FFFFFF,bus,Bus
19-679-aus-1,,679,Chirnside Park SC - Ringwood,3,FF8200,FFFFFF,bus,Bus
19-680-aus-1,,680,Mooroolbark - Lilydale,3,FF8200,FFFFFF,bus,Bus
19-681-aus-1,,681,Knox City SC - Knox City SC,3,FF8200,FFFFFF,bus,Bus
19-682-aus-1,,682,Knox City SC - Knox City SC,3,FF8200,FFFFFF,bus,Bus
19-688-aus-1,,688,Upper Ferntree Gully - Croydon,3,FF8200,FFFFFF,bus,Bus
19-689-aus-1,,689,Montrose - Croydon Station,3,FF8200,FFFFFF,bus,Bus
19-690-aus-1,,690,Boronia - Croydon,3,FF8200,FFFFFF,bus,Bus
19-691-aus-1,,691,Boronia - Waverley Gardens SC,3,FF8200,FFFFFF,bus,Bus
19-693-aus-1,,693,Belgrave - Oakleigh,3,FF8200,FFFFFF,bus,Bus
