site_id,date,hour,day_of_week,measurement,value,lat,lon,suburb_name
1011,2023-11-29,22,2,temperature_c,16.64,-37.822222,144.952222,Southbank (West) - South Wharf
1012,2023-11-29,22,2,wind_speed_kmh,0.0,-37.813333,144.97,Melbourne CBD - East
1009,2023-11-29,22,2,pm25_ug_m3,5.3,-37.81686763,144.96570467,Melbourne CBD - East
1012,2023-11-29,22,2,pm25_ug_m3,7.0,-37.813333,144.97,Melbourne CBD - East
1011,2023-11-29,22,2,humidity_pct,74.19,-37.822222,144.952222,Southbank (West) - South Wharf
1011,2023-11-29,22,2,pressure_hpa,1010.8,-37.822222,144.952222,Southbank (West) - South Wharf
1012,2023-11-29,22,2,temperature_c,18.87,-37.813333,144.97,Melbourne CBD - East
1012,2023-11-29,22,2,humidity_pct,68.79,-37.813333,144.97,Melbourne CBD - East
1009,2023-11-29,22,2,pm10_ug_m3,19.3,-37.81686763,144.96570467,Melbourne CBD - East
1011,2023-11-29,22,2,pm25_ug_m3,5.9,-37.822222,144.952222,Southbank (West) - South Wharf
1012,2023-11-29,22,2,pm25_ug_m3,5.4,-37.813333,144.97,Melbourne CBD - East
1012,2023-11-29,22,2,pm10_ug_m3,21.3,-37.813333,144.97,Melbourne CBD - East
1011,2023-11-29,22,2,humidity_pct,71.38,-37.822222,144.952222,Southbank (West) - South Wharf
1012,2023-11-29,22,2,pressure_hpa,1011.1,-37.813333,144.97,Melbourne CBD - East
1009,2023-11-29,22,2,pm10_ug_m3,27.0,-37.81686763,144.96570467,Melbourne CBD - East
1011,2023-11-29,22,2,pm25_ug_m3,5.5,-37.822222,144.952222,Southbank (West) - South Wharf
1011,2023-11-29,22,2,pm10_ug_m3,28.9,-37.822222,144.952222,Southbank (West) - South Wharf
1012,2023-11-29,22,2,pm25_ug_m3,6.1,-37.813333,144.97,Melbourne CBD - East
1011,2023-11-29,23,2,temperature_c,17.49,-37.822222,144.952222,Southbank (West) - South Wharf
1011,2023-11-29,23,2,wind_speed_kmh,0.0,-37.822222,144.952222,Southbank (West) - South Wharf
1012,2023-11-29,23,2,wind_speed_kmh,0.0,-37.813333,144.97,Melbourne CBD - East
1009,2023-11-29,23,2,pm10_ug_m3,23.3,-37.81686763,144.96570467,Melbourne CBD - East
1012,2023-11-29,23,2,pm25_ug_m3,5.5,-37.813333,144.97,Melbourne CBD - East
1011,2023-11-29,22,2,humidity_pct,74.38,-37.822222,144.952222,Southbank (West) - South Wharf
1011,2023-11-29,22,2,pressure_hpa,1010.8,-37.822222,144.952222,Southbank (West) - South Wharf
1011,2023-11-29,22,2,wind_speed_kmh,0.0,-37.822222,144.952222,Southbank (West) - South Wharf
1011,2023-11-29,22,2,pm25_ug_m3,5.7,-37.822222,144.952222,Southbank (West) - South Wharf
1011,2023-11-29,22,2,pm10_ug_m3,21.8,-37.822222,144.952222,Southbank (West) - South Wharf
1011,2023-11-29,22,2,temperature_c,16.81,-37.822222,144.952222,Southbank (West) - South Wharf
1012,2023-11-29,22,2,wind_speed_kmh,0.0,-37.813333,144.97,Melbourne CBD - East
1009,2023-11-29,22,2,pm25_ug_m3,5.2,-37.81686763,144.96570467,Melbourne CBD - East
1012,2023-11-29,22,2,wind_speed_kmh,0.0,-37.813333,144.97,Melbourne CBD - East
1012,2023-11-29,22,2,pm10_ug_m3,25.9,-37.813333,144.97,Melbourne CBD - East
1011,2023-11-29,23,2,pressure_hpa,1010.4,-37.822222,144.952222,Southbank (West) - South Wharf
1012,2023-11-29,23,2,humidity_pct,68.7,-37.813333,144.97,Melbourne CBD - East
1012,2023-11-29,23,2,pressure_hpa,1010.9,-37.813333,144.97,Melbourne CBD - East
1012,2023-11-29,23,2,pm10_ug_m3,21.7,-37.813333,144.97,Melbourne CBD - East
1012,2023-11-29,22,2,temperature_c,18.82,-37.813333,144.97,Melbourne CBD - East
1012,2023-11-29,22,2,humidity_pct,68.74,-37.813333,144.97,Melbourne CBD - East
1012,2023-11-29,22,2,pressure_hpa,1011.2,-37.813333,144.97,Melbourne CBD - East
1009,2023-11-29,22,2,pm10_ug_m3,22.1,-37.81686763,144.96570467,Melbourne CBD - East
1012,2023-11-29,22,2,pm10_ug_m3,29.2,-37.813333,144.97,Melbourne CBD - East
1012,2023-11-29,22,2,pressure_hpa,1011.3,-37.813333,144.97,Melbourne CBD - East
1011,2023-11-29,22,2,wind_speed_kmh,0.0,-37.822222,144.952222,Southbank (West) - South Wharf
1011,2023-11-29,22,2,pm10_ug_m3,24.8,-37.822222,144.952222,Southbank (West) - South Wharf
1011,2023-11-29,22,2,temperature_c,17.07,-37.822222,144.952222,Southbank (West) - South Wharf
1011,2023-11-29,22,2,pressure_hpa,1010.9,-37.822222,144.952222,Southbank (West) - South Wharf
1012,2023-11-29,22,2,temperature_c,18.89,-37.813333,144.97,Melbourne CBD - East
1012,2023-11-29,22,2,humidity_pct,68.8,-37.813333,144.97,Melbourne CBD - East
1011,2023-11-29,22,2,wind_speed_kmh,0.0,-37.822222,144.952222,Southbank (West) - South Wharf
