osm_id,name,amenity_type,amenity,wheelchair,toilets:wheelchair,opening_hours,operator,description,is_accessible,latitude,longitude
way/28919769,Accessible Toilet,accessible_toilet,toilets,designated,,,,,True,-37.807832,144.9579622
node/30230114,Accessible Toilet,accessible_toilet,toilets,limited,,,,,True,-37.8802018,145.1641177
way/34000511,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.7013434,144.9545865
way/34285481,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.7150821,144.9603245
way/34947532,Demolished,accessible_toilet,toilets,yes,,,,,True,-37.7439459,144.8974801
way/38226973,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.8093804,145.2785927
way/38614008,Accessible Toilet,accessible_toilet,toilets,yes,,,,,True,-37.8203441,144.9733164
way/39575384,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.9091715,145.2245936
way/44486683,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.827557,145.3526974
way/44552489,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.8820039,145.2282694
way/45379972,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.8422995,144.9633396
way/46500346,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.8942694,145.1982538
way/46980974,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.6675754,144.7663791
way/48035767,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.8931964,145.3108171
way/48332402,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.8746948,145.2856069
way/48332403,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.875986,145.2871129
way/49238814,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.8589884,145.2408724
way/49960558,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-38.1033524,145.1250343
way/51529810,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.927476,144.772269
way/51530301,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.9279515,144.7708226
way/57007463,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.8068188,144.9587385
way/61017218,Accessible Toilet,accessible_toilet,toilets,yes,,,,,True,-37.7760076,145.1401201
way/62224702,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.7452078,145.1344186
way/62224704,Accessible Toilet,accessible_toilet,toilets,no,,,Parks Victoria,,True,-37.7424594,145.1352334
way/62224708,Accessible Toilet,accessible_toilet,toilets,limited,,,,,True,-37.7509158,145.1299009
way/68678551,Accessible Toilet,accessible_toilet,toilets,yes,,,,,True,-37.8812742,145.2948567
way/85246931,Accessible Toilet,accessible_toilet,toilets,yes,,,,,True,-37.76858,144.8717061
way/85247180,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.7340566,144.8317424
way/86370001,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.8948119,145.2496332
way/96935006,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.950275,145.5484956
way/97195436,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-38.0629148,145.2878131
way/97195444,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-38.0628598,145.2878381
way/97917640,Accessible Toilet,accessible_toilet,toilets,yes,,,,,True,-37.9332479,145.1107606
way/102675272,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.9073726,145.356859
way/102771309,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.5577757,145.1253949
way/103401904,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-38.1748254,145.1417594
way/103401907,Accessible Toilet,accessible_toilet,toilets,yes,,,,,True,-38.174493,145.1404763
way/104449889,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.9256786,145.349058
way/104449893,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.927046,145.3485903
way/111779978,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.755665,144.9768768
way/113662857,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.9084411,145.3560968
way/115824211,Accessible Toilet,accessible_toilet,toilets,yes,,24/7,Moreland City Council,,True,-37.7744723,144.9766545
way/115941161,Accessible Toilet,accessible_toilet,toilets,,,,Moreland City Council,,True,-37.7699133,144.9827466
way/117904625,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.767298,144.9806977
way/117907079,Public Toilets,accessible_toilet,toilets,,,,,,True,-37.7660784,144.9848706
way/120144274,Toilets,accessible_toilet,toilets,,,,,,True,-37.9479062,145.5307954
node/122635024,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.8981008,145.1133574
way/136466950,Accessible Toilet,accessible_toilet,toilets,yes,,,,,True,-37.7521549,145.0988472
node/137010639,Accessible Toilet,accessible_toilet,toilets,yes,,,,,True,-37.8907122,145.1441694
way/147610145,Accessible Toilet,accessible_toilet,toilets,yes,,,,,True,-38.3193267,144.7131589
way/148936208,Accessible Toilet,accessible_toilet,toilets,yes,,,,,True,-37.9264795,145.3543952
way/154270225,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.8389798,144.9711956
way/154529390,Beaurepaire Pavillion,accessible_toilet,toilets,,,,,,True,-37.8477948,144.9682384
way/154532559,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.8490607,144.9664406
way/154620601,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-38.1999459,145.4899698
way/154705283,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-37.8457282,144.9674202
way/156140715,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-38.4472855,144.8595653
way/156140767,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-38.4450949,144.8564464
way/160098928,Accessible Toilet,accessible_toilet,toilets,yes,,,,,True,-38.3539511,144.9500446
way/169733224,Accessible Toilet,accessible_toilet,toilets,no,,,,,True,-37.7057669,145.097526
way/169733226,Accessible Toilet,accessible_toilet,toilets,no,,24/7,,,True,-37.7065567,145.0996655
way/172237653,Accessible Toilet,accessible_toilet,toilets,yes,,,,,True,-38.4932054,144.8887927
way/172243388,Accessible Toilet,accessible_toilet,toilets,,,,,,True,-38.47677,144.8933626
way/173759102,Accessible Toilet,accessible_toilet,toilets,yes,,24/7,,,True,-37.8804815,144.7349845
way/178265664,Accessible Toilet,accessible_toilet,toilets,no,,,,,True,-37.7121578,145.0414954
way/178265677,Accessible Toilet,accessible_toilet,toilets,yes,,,,,True,-37.7128738,145.043659
