osm_id,name,amenity_type,amenity,wheelchair,toilets:wheelchair,opening_hours,operator,description,is_accessible,latitude,longitude
way/22871271,Arts West Building (148A & 148B),wheelchair_accessible_place,,yes,,,University of Melbourne,,True,-37.7979001,144.95936995
way/23766654,Building 189,wheelchair_accessible_place,,yes,,,University of Melbourne,Redeveloped for student activity as part of the New Student Precinct Project 2007-2014,True,-37.799338750000004,144.963306
way/23766711,1888 Building,wheelchair_accessible_place,,yes,,24/7,University of Melbourne,,True,-37.799696012301254,144.96321941986213
way/191508249,Jaycar,wheelchair_accessible_place,,yes,,"Mo-Th 08:30-17:30; Fr 08:30-19:30; Sa 08:30-17:00; Su 10:00-17:00; PH 10:00-16:00; easter -2 days,Dec 25 off",,,True,-37.93150475,145.1552988
way/441870138,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8157975,145.2219474
way/591457114,Sidney Myer Asia Centre (158),wheelchair_accessible_place,,yes,,,University of Melbourne,,True,-37.79905999641515,144.96385891936595
way/618118799,Building 125,wheelchair_accessible_place,,yes,,,University of Melbourne,Teaching building for biological sciences,True,-37.796280550000006,144.95865114999998
way/741435973,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.914443250000005,145.01678565
way/741435974,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.914430249999995,145.0164391
way/741577305,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.92045256758193,145.02267882369156
way/741590600,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.9330975,145.034847
way/773654822,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-38.15984155,145.19074634999998
way/966461783,Coles Arcade,wheelchair_accessible_place,,yes,,,,,True,-37.9029082,144.65925975
way/980440362,McDonald's,wheelchair_accessible_place,fast_food,yes,,24/7,,,True,-38.150226149999995,145.1962283
way/1039543645,All Florida Construction Group,wheelchair_accessible_place,,yes,,,All Florida Construction Group,,True,28.148293799999998,-80.63791035
way/1215281982,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.881473299999996,144.70317225
way/1279261057,Wheelchair Accessible Place,wheelchair_accessible_place,toilets,yes,,sunrise-sunset,Bayside City Council,,True,-37.92254710520532,144.99990659945044
way/1350388115,Murphy USA,wheelchair_accessible_place,fuel,yes,yes,Mo-Sa 05:00-23:30; Su 05:30-22:30,Murphy USA,,True,28.171501900000003,-80.6724055
way/1376653280,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-38.05340435,145.1166862
way/1429161708,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.83334505,144.9730424
way/1430171329,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.83326075,144.97258305
way/1430177328,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.833698600000005,144.9724636
way/1430770814,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.83270305,144.97277
way/1443830596,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7997007,144.95899175
way/1449415792,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,28.14701225,-80.67284305
way/1453493856,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.801030100000006,144.94115345
way/1453794760,Entrance/Exit 4 -Grattan Street West,wheelchair_accessible_place,,yes,,,,,True,-37.7998605,144.957263
way/1453794779,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.7999036,144.9594874
way/1453831061,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.83334505,144.9730424
way/1453831079,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.83334505,144.9730424
way/1453831082,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.83334505,144.9730424
way/1462199526,Wheelchair Accessible Place,wheelchair_accessible_place,,yes,,,,,True,-37.8337139,144.9724592
