sensor_id,day_of_week,hour,avg_count,median_count,p25_count,p75_count,max_count,sample_count,day_name,crowd_level,is_quiet_hour,sensor_description,lat,lon,suburb_id,suburb_name,location_type
1,0,0,49.6,49.0,37.0,57.0,121,77,Monday,Low,True,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,1,31.1,28.0,21.0,37.0,83,77,Monday,Low,True,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,2,21.7,18.0,12.0,26.0,66,77,Monday,Low,True,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,3,12.4,10.0,8.0,14.0,41,77,Monday,Low,True,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,4,9.5,9.0,5.0,13.0,25,77,Monday,Low,True,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,5,14.5,14.0,11.0,17.0,34,77,Monday,Low,True,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,6,71.1,72.0,62.0,85.0,128,77,Monday,Moderate,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,7,159.2,166.0,145.8,184.2,225,76,Monday,Moderate,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,8,388.4,404.0,374.0,443.0,597,76,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,9,619.8,607.5,559.0,663.8,1151,76,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,10,1005.8,943.0,882.5,1079.5,1941,43,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,11,1541.6,1486.0,1358.5,1661.5,2352,48,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,12,2259.1,2247.0,2085.2,2410.5,2749,50,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,13,2361.7,2386.0,2243.0,2568.2,2749,50,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,14,2116.5,2011.0,1904.0,2370.5,2749,47,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,15,2069.3,1991.5,1790.5,2329.2,2749,36,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,16,2011.2,1940.0,1852.0,2158.5,2504,31,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,17,2045.7,1971.0,1782.2,2232.5,2749,38,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,18,1494.3,1315.0,1244.0,1636.0,2749,33,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,19,959.6,893.0,685.0,1077.2,2749,44,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,20,521.9,507.0,456.0,535.0,1343,41,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,21,332.3,318.0,267.0,361.0,874,49,Monday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,22,176.3,162.5,136.0,182.8,1074,46,Monday,Moderate,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,0,23,75.9,71.0,62.8,82.5,176,48,Monday,Moderate,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,0,39.3,37.0,28.0,46.0,103,77,Tuesday,Low,True,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,1,24.4,25.0,18.0,30.0,51,77,Tuesday,Low,True,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,2,16.3,14.0,11.0,20.0,48,77,Tuesday,Low,True,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,3,9.7,8.0,7.0,13.0,21,77,Tuesday,Low,True,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,4,8.8,9.0,6.0,11.0,20,77,Tuesday,Low,True,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,5,14.7,15.0,11.0,18.0,29,77,Tuesday,Low,True,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,6,86.0,83.0,74.0,98.0,219,77,Tuesday,Moderate,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,7,199.1,202.0,186.0,221.0,478,77,Tuesday,Moderate,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,8,476.5,483.0,444.0,506.0,1241,77,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,9,646.4,630.0,583.0,669.0,1257,77,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,10,944.8,883.0,833.0,1009.0,1513,40,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,11,1480.5,1396.5,1289.8,1574.2,2527,48,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,12,2361.7,2382.0,2255.8,2609.8,2749,44,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,13,2441.2,2457.0,2342.0,2692.0,2749,53,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,14,2102.2,2020.5,1931.8,2345.2,2749,46,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,15,2034.7,1958.5,1856.5,2166.0,2749,38,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,16,2027.2,1990.0,1855.0,2160.0,2749,29,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,17,2150.7,2086.0,1926.5,2390.0,2749,35,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,18,1653.8,1590.0,1367.0,1843.5,2749,39,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,19,985.9,927.0,799.0,1086.8,2319,36,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,20,605.0,510.0,457.0,586.0,2100,41,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,21,397.5,354.0,306.0,407.0,2025,46,Tuesday,High,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,22,215.1,180.0,151.0,214.0,1351,49,Tuesday,Moderate,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
1,1,23,103.6,86.5,69.5,102.8,776,46,Tuesday,Moderate,False,Bourke Street Mall (North),-37.81349441,144.96515323,206041503,Melbourne CBD - East,Outdoor
