sensor_id,sensor_name,sensor_description,location_type,status,lat,lon,direction_1,direction_2,suburb_id,suburb_name
1,Bou292_T,Bourke Street Mall (North),Outdoor,A,-37.81349441,144.96515323,East,West,206041503,Melbourne CBD - East
2,Bou283_T,Bourke Street Mall (South),Outdoor,A,-37.81380668,144.96516718,East,West,206041503,Melbourne CBD - East
3,Swa295_T,Melbourne Central,Outdoor,A,-37.81101524,144.96429485,North,South,206041504,Melbourne CBD - North
4,Swa123_T,Town Hall (West),Outdoor,A,-37.81487988,144.9660878,North,South,206041503,Melbourne CBD - East
5,PriNW_T,Princes Bridge,Outdoor,A,-37.81874249,144.96787656,North,South,206041503,Melbourne CBD - East
6,FliS_T,Flinders Street Station Underpass,Outdoor,A,-37.81911705,144.96558255,North,South,206041505,Melbourne CBD - West
8,WebBN_T,Webb Bridge,Outdoor,A,-37.82293543,144.9471751,North,South,206041118,Docklands
9,Col700_T,Southern Cross Station,Outdoor,A,-37.81982992,144.95102555,East,West,206041508,Southbank (West) - South Wharf
10,BouHbr_T,Victoria Point,Outdoor,A,-37.81876474,144.94710545,East,West,206041118,Docklands
11,WatCit_T,Waterfront City,Outdoor,A,-37.81564989,144.93970694,East,West,206041118,Docklands
12,NewQ_T,New Quay,Outdoor,A,-37.81457988,144.94292398,East,West,206041118,Docklands
14,SanBri_T,Sandridge Bridge,Outdoor,A,-37.82011242,144.96291897,North,South,206041505,Melbourne CBD - West
17,Col15_T,Collins Place (South),Outdoor,A,-37.81362543,144.97323591,East,West,206041503,Melbourne CBD - East
18,Col12_T,Collins Place (North),Outdoor,A,-37.81344862,144.97305353,East,West,206041503,Melbourne CBD - East
19,LtB210_T,Chinatown-Swanston St (North),Outdoor,A,-37.81237202,144.96550671,East,West,206041503,Melbourne CBD - East
20,LtB170_T,Chinatown-Lt Bourke St (South),Outdoor,A,-37.81172914,144.9682466,East,West,206041503,Melbourne CBD - East
21,Bourke155_T,155-161 Russell Street,Outdoor,A,-37.81267313,144.96788288,North,South,206041503,Melbourne CBD - East
23,Col623_T,Spencer St-Collins St (South),Outdoor,A,-37.81909256,144.95452748,East,West,206041505,Melbourne CBD - West
24,Col620_T,Spencer St-Collins St (North),Outdoor,A,-37.81887963,144.95449198,East,West,206041505,Melbourne CBD - West
25,MCEC_T,Melbourne Convention Exhibition Centre,Outdoor,A,-37.82401776,144.95604426,East,West,206041508,Southbank (West) - South Wharf
27,Vic_T,QV Market-Peel St,Outdoor,A,-37.80606888,144.95644692,East,West,206041504,Melbourne CBD - North
28,VAC_T,The Arts Centre,Outdoor,A,-37.82129925,144.96879309,North,South,206041509,Southbank - East
29,AG_T,St Kilda Rd-Alexandra Gardens,Outdoor,A,-37.8199817,144.96872865,North,South,206041509,Southbank - East
30,Lon189_T,Lonsdale St (South),Outdoor,A,-37.8112185,144.96656806,East,West,206041503,Melbourne CBD - East
31,Lyg161_T,Lygon St (West),Outdoor,A,-37.80169681,144.96658911,North,South,206041117,Carlton
35,SouthB_T,Southbank,Outdoor,A,-37.82018685,144.96508508,East,West,206041505,Melbourne CBD - West
