toilet_id,suburb_id,suburb_name,name,lat,lon,has_female,has_male,has_wheelchair,has_baby_facility,operator
1,206041505,Melbourne CBD - West,Public Toilet - Toilet 4 - Market Street (Opposite 74 Market Street),-37.81746989209639,144.96025433528794,True,True,True,False,City of Melbourne
2,206041121,Kensington (Vic.),"Public Toilet - Toilet 173 - JJ Holland Park, Skate Park (113 Kensington Road)",-37.798064023886866,144.92110584392117,True,True,True,False,City of Melbourne
3,206041503,Melbourne CBD - East,Public Toilet - Toilet 11 - Lonsdale Street (Opposite 88 Lonsdale Street),-37.81003567992859,144.96990246330486,True,True,True,False,City of Melbourne
4,206041503,Melbourne CBD - East,Public Toilet - Toilet 12 - Exhibition Street (Opposite 242 Exhibition Street),-37.80954604636232,144.9694071187106,False,True,False,False,City of Melbourne
5,206041505,Melbourne CBD - West,Public Toilet - Toilet 3 - Flinders Street (399 Flinders Street),-37.81940611413847,144.96127683121782,True,True,True,False,City of Melbourne
6,206041125,South Yarra - West,"Public Toilet - Toilet 44 - Fawkner Park, Opposite 150W Toorak Road",-37.83825284124979,144.98438921994168,True,True,True,False,City of Melbourne
7,206041506,North Melbourne,Public Toilet - Toilet 136 - Ievers Reserve - Flemington Road,-37.79679899805757,144.95196665126468,True,True,True,False,City of Melbourne
8,206041503,Melbourne CBD - East,Public Toilet - Toilet 124 - Nicholson Street (1A Nicholson Street),-37.80945202894246,144.97307695563703,False,True,False,False,City of Melbourne
9,206041124,Parkville,Public Toilet - Toilet 131 - Royal Park (Flemington Rd - Near North Park Tennis Club),-37.790174410412384,144.94366905096865,True,True,True,False,City of Melbourne
10,206041510,West Melbourne - Residential,Public Toilet - Toilet 170 - Queensberry Street (Opposite 530 Queensberry Street),-37.80307786641225,144.94986517956968,False,True,False,False,City of Melbourne
11,206041503,Melbourne CBD - East,Public Toilet - Toilet 46 - Bourke Street (opposite 225 Bourke Street),-37.81324543360198,144.9668965896814,True,True,True,False,City of Melbourne
12,206041504,Melbourne CBD - North,"Public Toilet - Queen Victoria Market - (Meat Hall / ""H"" Shed)",-37.80682129201847,144.95874700464088,True,True,False,False,City of Melbourne
13,206041117,Carlton,Public Toilet - Toilet 178 -  Argyle Place North (Opposite 4 Argyle Place North),-37.80207629420745,144.96642403988702,True,True,True,False,City of Melbourne
14,206041506,North Melbourne,"Public Toilet - Toilet 55 - Royal Park (Nature Play, Opposite 51 Gatehouse Street)",-37.795523148389,144.952142962802,True,True,True,False,City of Melbourne
15,206041503,Melbourne CBD - East,Public Toilet - Toilet 41 - Flinders Street (No 245 Flinders Street Station),-37.81790319705616,144.9662642552638,True,True,True,False,City of Melbourne
16,206041504,Melbourne CBD - North,Public Toilet - Toilet 140 - Queensberry Street (Opposite 286 Queensberry Street),-37.8039946349673,144.95909066756946,False,True,False,False,City of Melbourne
17,206041507,Royal Botanic Gardens Victoria,Public Toilet - Toilet 106 - Kings Domain Government House Drive,-37.82691574923448,144.9746477838788,True,True,False,False,City of Melbourne
18,206041118,Docklands,"Public Toilet - Saint Mangos Lane, The Palladio (New Quay)",-37.81435831108069,144.94168216712015,True,True,True,False,City of Melbourne
19,206041124,Parkville,Public Toilet - Royal Park Golf Course Club House,-37.78187131786685,144.95614252894822,True,True,False,False,City of Melbourne
20,206041121,Kensington (Vic.),Public Toilet - Newmarket Reserve (26 Smithfield Road),-37.78848882114304,144.9235637219743,True,True,False,False,City of Melbourne
21,206041125,South Yarra - West,"Public Toilet - Toilet 102 - Fawkner Park, North Pavilion (Female)",-37.84001779326322,144.98122701462214,True,False,False,False,City of Melbourne
22,206041124,Parkville,"Public Toilet - Toilet 120 - Royal Park, Wetland (off Oak Street)",-37.78303248417686,144.94185635299425,True,True,True,False,City of Melbourne
