search_id,suburb_id,suburb_input,search_lat,search_lng,radius_metres,category_filters,free_only,results_returned
1,201011001,Alfredton,-37.541752512576096,143.74931999264615,1000,Green Space,True,0
2,201011001,Alfredton,-37.541752512576096,143.74931999264615,1500,Urban Space,True,0
3,201011001,Alfredton,-37.541752512576096,143.74931999264615,2000,Recreation,False,0
4,201011002,Ballarat,-37.556156947914054,143.83664772146062,1000,Green Space,True,0
5,201011002,Ballarat,-37.556156947914054,143.83664772146062,1500,Urban Space,True,0
6,201011002,Ballarat,-37.556156947914054,143.83664772146062,2000,Recreation,False,0
7,201011005,Buninyong,-37.643867509552656,143.8807716783235,1000,Green Space,True,0
8,201011005,Buninyong,-37.643867509552656,143.8807716783235,1500,Urban Space,True,0
9,201011005,Buninyong,-37.643867509552656,143.8807716783235,2000,Recreation,False,0
10,201011006,Delacombe,-37.58224401574294,143.7784661771825,1000,Green Space,True,0
11,201011006,Delacombe,-37.58224401574294,143.7784661771825,1500,Urban Space,True,0
12,201011006,Delacombe,-37.58224401574294,143.7784661771825,2000,Recreation,False,0
13,201011007,Smythes Creek,-37.620260242372495,143.74620721896895,1000,Green Space,True,0
14,201011007,Smythes Creek,-37.620260242372495,143.74620721896895,1500,Urban Space,True,0
15,201011007,Smythes Creek,-37.620260242372495,143.74620721896895,2000,Recreation,False,0
16,201011008,Wendouree - Miners Rest,-37.49756459153087,143.80254329831433,1000,Green Space,True,0
17,201011008,Wendouree - Miners Rest,-37.49756459153087,143.80254329831433,1500,Urban Space,True,0
18,201011008,Wendouree - Miners Rest,-37.49756459153087,143.80254329831433,2000,Recreation,False,0
19,201011481,Ballarat East - Warrenheip,-37.570085757246275,143.9076024773677,1000,Green Space,True,0
20,201011481,Ballarat East - Warrenheip,-37.570085757246275,143.9076024773677,1500,Urban Space,True,0
21,201011481,Ballarat East - Warrenheip,-37.570085757246275,143.9076024773677,2000,Recreation,False,0
22,201011482,Ballarat North - Invermay,-37.51587256526118,143.8973381642486,1000,Green Space,True,0
23,201011482,Ballarat North - Invermay,-37.51587256526118,143.8973381642486,1500,Urban Space,True,0
24,201011482,Ballarat North - Invermay,-37.51587256526118,143.8973381642486,2000,Recreation,False,0
25,201011483,Canadian - Mount Clear,-37.59240951647122,143.87417582259783,1000,Green Space,True,0
26,201011483,Canadian - Mount Clear,-37.59240951647122,143.87417582259783,1500,Urban Space,True,0
27,201011483,Canadian - Mount Clear,-37.59240951647122,143.87417582259783,2000,Recreation,False,0
28,201011484,Sebastopol - Redan,-37.59518526786312,143.83646844906644,1000,Green Space,True,0
29,201011484,Sebastopol - Redan,-37.59518526786312,143.83646844906644,1500,Urban Space,True,0
30,201011484,Sebastopol - Redan,-37.59518526786312,143.83646844906644,2000,Recreation,False,0
