suburb_id,population_total,population_65_74,population_75_84,population_85_plus,need_assistance
201011001,16835,1312,694,172,850
201011002,12131,1495,937,394,747
201011005,7261,897,352,85,315
201011006,10661,876,470,232,842
201011007,4230,433,148,27,204
201011008,15333,1602,1041,514,1396
201011481,9691,1114,686,390,1026
201011482,14750,1623,846,367,890
201011483,12225,1242,689,320,889
201011484,13086,1504,914,373,1352
201021009,6559,736,370,118,381
201021010,8085,1262,633,236,558
201021011,9955,1819,771,256,558
201021012,6372,754,299,73,317
201031013,3532,685,307,101,295
201031014,4644,739,338,101,326
201031015,4894,637,259,40,341
201031016,8160,1296,958,395,916
201031017,5526,994,494,118,512
202011018,14929,1644,904,484,1297
202011019,12949,1450,746,300,1110
202011020,13988,1758,1129,619,1174
202011021,9437,899,497,254,580
202011022,21043,2477,1791,840,1902
202011023,5518,521,175,29,250
202011024,10719,1110,532,125,400
202011025,14446,1240,577,156,882
202021026,8344,910,330,59,327
202021027,11352,1779,1064,472,607
202021028,9225,1618,731,178,483
202021029,5062,864,500,149,423
202021030,10562,1415,769,311,697
202021031,7949,1033,535,164,450
202031032,4934,659,294,76,297
202031033,7289,1232,611,297,545
203011034,7754,660,327,127,418
203011035,8111,835,277,65,369
203011036,6614,796,342,113,337
203021037,15017,1410,896,526,1073
203021039,13504,1512,732,277,833
203021040,21200,1779,973,484,1118
203021042,24034,2312,1437,467,1002
203021043,20817,1893,874,315,1116
203021044,13272,1518,988,320,855
203021045,15462,1976,1341,561,1443
203021046,10445,1058,580,201,410
203021047,15795,1907,1285,601,1458
203021485,10300,566,475,346,657
203021486,18325,1632,847,247,1509
203021487,24763,2254,1376,756,1790
203021488,9051,908,514,235,1096
203031048,16797,2473,1336,431,1139
203031049,6234,1218,570,199,254
203031051,9536,2250,1134,314,693
203031052,5519,1290,776,297,358
203031053,24607,2586,1178,421,809
203031489,11333,1101,447,124,402
203031490,19394,2662,1215,515,958
204011054,6828,1272,661,220,488
204011055,6922,1322,683,296,544
204011056,15563,1645,979,354,1095
204011057,10517,1659,767,239,536
204011058,4537,766,383,140,267
