tree_id,common_name,genus,dbh_cm,useful_life_years,useful_life_label,age_description,located_in,precinct,lat,lon,shade_score,suburb_id
1070378,Tulip Tree,Liriodendron,20.0,50,> 41 years,Mature,Street,South Yarra,-37.83256738,144.986879,0.0008,297979799
1070382,Tulip Tree,Liriodendron,21.0,50,> 41 years,Mature,Street,South Yarra,-37.83166873,144.9870586,0.0008,297979799
1796650,Cook pine,Araucaria,28.0,30,21 - 30 years,Semi-mature,Park,Carlton,-37.80222191,144.9628525,0.0011,297979799
1457913,Yellow Box,Eucalyptus,25.0,50,> 41 years,Mature,Park,Kensington,-37.79753724,144.9235189,0.001,297979799
1457915,Yellow Box,Eucalyptus,22.0,50,> 41 years,Mature,Park,Kensington,-37.79753979,144.9234592,0.0008,297979799
1457917,Flame Tree,Brachychiton,11.0,50,> 41 years,Mature,Park,Kensington,-37.79743737,144.9235797,0.0004,297979799
1457918,Brittle Gum,Eucalyptus,24.0,50,> 41 years,Mature,Park,Kensington,-37.79747994,144.9234421,0.0009,297979799
1457929,Yellow Box,Eucalyptus,80.0,50,> 41 years,Mature,Park,Kensington,-37.79728161,144.9228843,0.0031,297979799
1457931,River red gum,Eucalyptus,20.0,50,> 41 years,Mature,Park,Kensington,-37.79731543,144.9227939,0.0008,297979799
1457935,Black She Oak,Allocasuarina,80.0,30,21 - 30 years,Mature,Park,Kensington,-37.7972436,144.9226343,0.0031,297979799
1457939,Drooping sheoak,Allocasuarina,12.0,20,11 - 20 years,Mature,Park,Kensington,-37.79723586,144.9225891,0.0005,297979799
1457940,Drooping sheoak,Allocasuarina,80.0,40,31 - 40 years,Mature,Park,Kensington,-37.79729374,144.9224938,0.0031,297979799
1457944,Ironbark,Eucalyptus,14.0,40,31 - 40 years,Mature,Park,Kensington,-37.79727349,144.9232617,0.0005,297979799
1457951,Lemon,Citrus,20.0,50,> 41 years,Mature,Park,Kensington,-37.79730542,144.9238764,0.0008,297979799
1457953,Key lime,Citrus,20.0,50,,Mature,Park,Kensington,-37.7973059,144.9238167,0.0008,297979799
1457957,Pin Oak,Quercus,30.0,40,31 - 40 years,Mature,Park,Kensington,-37.79511083,144.9307154,0.0012,297979799
1457968,Smooth-barked apple,Angophora,25.0,20,11 - 20 years,Mature,Street,West Melbourne,-37.80625017,144.9538865,0.001,297979799
1457976,Pin Oak,Quercus,30.0,40,31 - 40 years,Mature,Street,West Melbourne,-37.80694936,144.9539117,0.0012,297979799
1457977,Pin Oak,Quercus,30.0,50,,Mature,Street,West Melbourne,-37.80756352,144.9531763,0.0012,297979799
1458008,Holm Oak,Quercus,10.0,40,31 - 40 years,Mature,Park,South Yarra,-37.8393968,144.978299,0.0004,297979799
1458021,Stone Pine,Pinus,10.0,50,,Mature,Park,South Yarra,-37.84208193,144.9799572,0.0004,297979799
1458023,Stone Pine,Pinus,10.0,50,,Mature,Park,South Yarra,-37.84214231,144.9800525,0.0004,297979799
1458025,Queensland kauri pine,Agathis,30.0,50,,Mature,Park,South Yarra,-37.84194272,144.9801671,0.0012,297979799
1458026,English Oak,Quercus,20.0,30,21 - 30 years,Mature,Park,South Yarra,-37.84480402,144.9840818,0.0008,297979799
1458030,Scarlet Oak,Quercus,20.0,50,> 41 years,Mature,Park,South Yarra,-37.83840485,144.981594,0.0008,297979799
1458033,Tulip Tree,Liriodendron,15.0,50,,Mature,Street,South Yarra,-37.83686681,144.983879,0.0006,297979799
1458034,Luscious Water Gum,Tristaniopsis,50.0,50,> 41 years,Mature,Street,Southbank,-37.82706687,144.9689409,0.0019,297979799
1458037,Kanooka,Tristaniopsis,50.0,50,> 41 years,Mature,Street,Southbank,-37.82910871,144.9688858,0.0019,297979799
1458038,Kanooka,Tristaniopsis,50.0,50,> 41 years,Mature,Street,Southbank,-37.82888871,144.9687773,0.0019,297979799
1458044,Hoop Pine,Araucaria,18.0,40,31 - 40 years,Mature,Park,Carlton,-37.80131201,144.9735412,0.0007,297979799
1440962,Ironbark,Eucalyptus,20.0,40,31 - 40 years,Mature,Park,Parkville,-37.78604685,144.9446104,0.0008,297979799
1440968,Ironbark,Eucalyptus,20.0,50,> 41 years,Mature,Park,Parkville,-37.78615584,144.9447062,0.0008,297979799
1440969,Ironbark,Eucalyptus,20.0,40,31 - 40 years,Mature,Park,Parkville,-37.7861382,144.9447385,0.0008,297979799
1440971,Ironbark,Eucalyptus,20.0,50,> 41 years,Mature,Park,Parkville,-37.78613963,144.9448926,0.0008,297979799
1440978,Ironbark,Eucalyptus,20.0,30,21 - 30 years,Mature,Park,Parkville,-37.78584485,144.9455086,0.0008,297979799
1440985,Yellow Box,Eucalyptus,20.0,30,21 - 30 years,Mature,Park,Parkville,-37.78910473,144.9472313,0.0008,297979799
1440991,River red gum,Eucalyptus,20.0,30,21 - 30 years,Mature,Park,Parkville,-37.78902558,144.9474629,0.0008,297979799
1440993,Yellow Box,Eucalyptus,20.0,30,21 - 30 years,Mature,Park,Parkville,-37.78899235,144.9474934,0.0008,297979799
1440995,River red gum,Eucalyptus,20.0,50,> 41 years,Mature,Park,Parkville,-37.78897915,144.9475667,0.0008,297979799
1441004,River red gum,Eucalyptus,20.0,50,,Mature,Street,Parkville,-37.78905576,144.9479501,0.0008,297979799
1441005,River red gum,Eucalyptus,20.0,50,> 41 years,Mature,Street,Parkville,-37.78905227,144.9481531,0.0008,297979799
1441006,River red gum,Eucalyptus,20.0,50,> 41 years,Mature,Street,Parkville,-37.78899598,144.9481391,0.0008,297979799
1441011,Yellow Box,Eucalyptus,20.0,50,> 41 years,Mature,Street,Parkville,-37.78898568,144.9483395,0.0008,297979799
1441014,River red gum,Eucalyptus,20.0,50,> 41 years,Mature,Street,Parkville,-37.78891861,144.9484457,0.0008,297979799
1441015,Yellow Box,Eucalyptus,20.0,50,> 41 years,Mature,Street,Parkville,-37.78887749,144.9484595,0.0008,297979799
1441030,River red gum,Eucalyptus,50.0,50,> 41 years,Mature,Park,Parkville,-37.78977386,144.9570146,0.0019,297979799
1441031,River red gum,Eucalyptus,12.0,50,> 41 years,Mature,Park,Parkville,-37.78969559,144.957037,0.0005,297979799
1441033,River red gum,Eucalyptus,12.0,50,> 41 years,Mature,Park,Parkville,-37.78958506,144.9569738,0.0005,297979799
1441035,River red gum,Eucalyptus,12.0,40,31 - 40 years,Mature,Park,Parkville,-37.78950436,144.9570482,0.0005,297979799
1441041,River red gum,Eucalyptus,12.0,30,21 - 30 years,Mature,Park,Parkville,-37.78910604,144.9567522,0.0005,297979799
1441048,Yellow Box,Eucalyptus,50.0,20,11 - 20 years,Mature,Park,Parkville,-37.78846155,144.9552506,0.0019,297979799
1441049,River red gum,Eucalyptus,10.0,30,21 - 30 years,Mature,Park,Parkville,-37.78831795,144.9553131,0.0004,297979799
1441050,Yellow Box,Eucalyptus,10.0,50,> 41 years,Mature,Park,Parkville,-37.78833596,144.9552738,0.0004,297979799
1441056,Yellow Box,Eucalyptus,50.0,50,> 41 years,Mature,Park,Parkville,-37.78844256,144.9550272,0.0019,297979799
1441057,River red gum,Eucalyptus,50.0,30,21 - 30 years,Mature,Park,Parkville,-37.78835036,144.9548707,0.0019,297979799
1441059,Yellow Box,Eucalyptus,50.0,40,31 - 40 years,Mature,Park,Parkville,-37.78830512,144.9546672,0.0019,297979799
1069535,London Plane,Platanus,45.0,30,21 - 30 years,Mature,Street,West Melbourne,-37.80797627,144.9443516,0.0017,297979799
1457806,Stone Pine,Pinus,40.0,50,> 41 years,Mature,Park,Melbourne,-37.83357593,144.9811573,0.0015,297979799
1457807,Araucaria,Araucaria,20.0,50,> 41 years,Mature,Park,Melbourne,-37.8336068,144.9810212,0.0008,297979799
1457808,Australian teak,Flindersia,20.0,50,> 41 years,Mature,Park,Melbourne,-37.8335253,144.9809622,0.0008,297979799
1457815,Queensland kauri pine,Agathis,20.0,50,> 41 years,Mature,Park,Melbourne,-37.8328615,144.9763771,0.0008,297979799
1457833,Camphor Laurel,Cinnamomum,25.0,50,,Mature,Park,Melbourne,-37.82719246,144.9733965,0.001,297979799
1457834,Spotted Gum,Corymbia,30.0,40,31 - 40 years,Mature,Park,Melbourne,-37.82792514,144.9741615,0.0012,297979799
1457838,Bunya pine,Araucaria,28.0,50,> 41 years,Mature,Park,Melbourne,-37.82666644,144.9739763,0.0011,297979799
1457846,Aleppo Pine,Pinus,50.0,50,,Mature,Park,Melbourne,-37.82401914,144.9720932,0.0019,297979799
1457870,Smooth-barked apple,Angophora,25.0,50,> 41 years,Mature,Street,Parkville,-37.79712349,144.9571282,0.001,297979799
1457871,Smooth-barked apple,Angophora,25.0,50,> 41 years,Mature,Street,Parkville,-37.79711061,144.9570325,0.001,297979799
1457875,Smooth-barked apple,Angophora,25.0,50,> 41 years,Mature,Street,Parkville,-37.7970552,144.9565538,0.001,297979799
1457884,Smooth-barked apple,Angophora,25.0,50,> 41 years,Mature,Street,Parkville,-37.79689882,144.9552669,0.001,297979799
1457897,River red gum,Eucalyptus,20.0,50,> 41 years,Mature,Park,Parkville,-37.79196001,144.9559699,0.0008,297979799
1457903,Chinaberry Tree,Melia,27.0,50,> 41 years,Mature,Street,Parkville,-37.78778016,144.9584863,0.001,297979799
1457909,HillŸ??s Weeping Fig,Ficus,24.0,30,21 - 30 years,Mature,Street,Docklands,-37.81418642,144.9398058,0.0009,297979799
1285921,London Plane,Platanus,35.0,20,11 - 20 years,Mature,Street,Melbourne,-37.81582295,144.9735905,0.0013,297979799
1069046,Red Oak,Quercus,30.0,50,,Mature,Street,Carlton,-37.80143286,144.9698266,0.0012,297979799
1069051,Red Oak,Quercus,70.0,30,21 - 30 years,Mature,Street,Carlton,-37.80049624,144.9699912,0.0027,297979799
1069054,Red Oak,Quercus,60.0,40,31 - 40 years,Mature,Street,Carlton,-37.79988687,144.9700914,0.0023,297979799
1069070,Red Oak,Quercus,30.0,50,> 41 years,Mature,Street,Carlton,-37.79547602,144.970845,0.0012,297979799
1069073,Red Oak,Quercus,30.0,50,> 41 years,Mature,Street,Carlton,-37.79518863,144.970896,0.0012,297979799
1069085,English Elm,Ulmus,13.0,30,21 - 30 years,Mature,Street,Carlton,-37.79871827,144.9644129,0.0005,297979799
1069108,English Elm,Ulmus,12.0,40,31 - 40 years,Mature,Street,Parkville,-37.79835857,144.9641916,0.0005,297979799
1069111,English Elm,Ulmus,14.0,40,31 - 40 years,Mature,Street,Parkville,-37.79807939,144.9642307,0.0005,297979799
1069115,Smooth-barked apple,Angophora,30.0,30,21 - 30 years,Mature,Street,North Melbourne,-37.80543638,144.9580801,0.0012,297979799
1069118,Smooth-barked apple,Angophora,25.0,40,31 - 40 years,Mature,Street,North Melbourne,-37.80467501,144.957725,0.001,297979799
1069135,Weeping Myrtle,Syzygium,90.0,50,> 41 years,Mature,Park,Southbank,-37.82101224,144.9643484,0.0035,297979799
1069136,Weeping Myrtle,Syzygium,90.0,50,> 41 years,Mature,Park,Southbank,-37.8209775,144.9643269,0.0035,297979799
1069139,River red gum,Eucalyptus,10.0,30,21 - 30 years,Mature,Park,Southbank,-37.82110756,144.964217,0.0004,297979799
1069146,London Plane,Platanus,23.0,40,31 - 40 years,Mature,Street,Southbank,-37.82347685,144.9631918,0.0009,297979799
1069148,London Plane,Platanus,24.0,40,31 - 40 years,Mature,Street,Southbank,-37.8236235,144.963004,0.0009,297979799
1069151,London Plane,Platanus,34.0,50,> 41 years,Mature,Street,Southbank,-37.82539342,144.960561,0.0013,297979799
1069167,Flame Tree,Brachychiton,12.0,50,> 41 years,Mature,Park,Southbank,-37.83003632,144.9651503,0.0005,297979799
1069175,Spotted Gum,Corymbia,20.0,50,> 41 years,Mature,Park,Southbank,-37.82949997,144.9644123,0.0008,297979799
1749078,Sydney Blue Gum,Eucalyptus,20.0,50,> 41 years,Semi-mature,Park,Melbourne,-37.82145654,144.9577273,0.0008,297979799
1605611,Chinese Elm,Ulmus,40.0,40,31 - 40 years,Semi-mature,Street,Kensington,-37.79050158,144.9263916,0.0015,297979799
1605918,Lemon Scented Gum,Corymbia,30.0,50,,Semi-mature,Street,Melbourne,-37.81654672,144.9709444,0.0012,297979799
1605920,Lemon Scented Gum,Corymbia,30.0,50,,Semi-mature,Street,Melbourne,-37.81665929,144.97056,0.0012,297979799
1439319,River red gum,Eucalyptus,30.0,50,> 41 years,Mature,Park,West Melbourne,-37.80216969,144.9192063,0.0012,297979799
1439370,Ironbark,Eucalyptus,20.0,50,,Mature,Park,West Melbourne,-37.80682269,144.9516759,0.0008,297979799
1439379,Japanese Zelkova,Zelkova,20.0,40,31 - 40 years,Mature,Park,West Melbourne,-37.80723519,144.9518114,0.0008,297979799
